,0,5IAL_3_TT301.50,5IAL_3_QIT301.52,5IAL_3_PIT 301.55,5IAL_3_QIT301.57,5IAL_3_PIT301.60,5IAL_3_FIT301.61MF,5IAL_3_FIT301.61VF,5IAL_3_FIT301.61D,5IAL_3_PIT301.63,5IAL_3_P301.70,5IAL_3_R301.71,5IAL_3_P301.72,5IAL_3_301.BatchName,5IAL_3_XPV301.05,5IAL_3_XPV301.06,5IAL_3_XPV301.08,5IAL_3_XPV301.09,5IAL_3_XPV301.22,5IAL_3_XPV301.35,5IAL_3_XPV301.36,5IAL_3_XPV301.42,5IAL_3_XPV301.43,5IAL_3_XPV301.46,5IAL_3_XPV301.53,5IAL_3_XPV301.54,5IAL_3_XPV301.63,5IAL_3_LSL301.51,5IAL_3_LSL301.53,5IAL_3_GSC301.44,5IAL_3_GSO301.44,5IAL_3_LSL301.64,5IAL_3_LSL301.68,5IAL_3_LSLL301.69,5IAL_3_301.OCCUPIED,5IAL_3_LIT301.54,5IAL_3_LSH301.56,5IAL_3_XPV301.13,5IAL_3_WY301.54
0,2023-04-21 12:01:00,  19.53,   9.04,  -0.01,   0.87,   0.00,  0.000,   0.00, .00165,   0.08,   0.00,   0.00,   0.00,,   1,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   0,   1,   1,   0,   1,   1,   0,   0,   0,   1.56,   0,   0.00,   0.00
1,2023-04-21 12:02:00,  19.55,   9.04,  -0.01,   0.88,   0.00,  0.000,   0.00, .00163,   0.08,   0.00,   0.00,   0.00,,   1,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   0,   1,   1,   0,   1,   1,   0,   0,   0,   1.58,   0,   0.00,   0.00
2,2023-04-21 12:03:00,  19.57,   9.04,  -0.01,   0.88,   0.00,  0.000,   0.00, .00164,   0.08,   0.00,   0.00,   0.00,,   1,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   0,   1,   1,   0,   1,   1,   0,   0,   0,   1.57,   0,   0.00,   0.00
3,2023-04-21 12:04:00,  19.60,   9.04,  -0.01,   0.88,   0.00,  0.000,   0.00, .00161,   2.48,   0.00,   0.00,   0.00,,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   0,   1,   0,   0,   0,   0,   1.61,   0,   0.00,   0.00
4,2023-04-21 12:05:00,  19.62,   9.04,  -0.01,   0.88,   0.00,  0.000,   0.00, .00163,   2.48,   0.00,   0.00,   0.00,,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   0,   1,   0,   0,   0,   0,   1.62,   0,   0.00,   0.00
5,2023-04-21 12:06:00,  19.65,   9.04,  -0.01,   0.88,   0.00,  0.000,   0.00, .00165,   2.48,   0.00,   0.00,   0.00,,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   0,   1,   0,   0,   0,   0,   1.60,   0,   0.00,   0.00
6,2023-04-21 12:07:00,  19.66,   9.04,  -0.01,   0.88,   0.00,  0.000,   0.00, .00161,   2.48,   0.00,   0.00,   0.00,,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   0,   1,   0,   0,   0,   0,   1.62,   0,   0.00,   0.00
7,2023-04-21 12:08:00,  19.69,   9.04,  -0.01,   0.88,   0.00,  0.000,   0.00, .00163,   2.48,   0.00,   0.00,   0.00,,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   0,   1,   0,   0,   0,   0,   1.62,   0,   0.00,   0.00
8,2023-04-21 12:09:00,  19.70,   9.04,  -0.01,   0.88,   0.00,  0.000,   0.00, .00164,   2.48,   0.00,   0.00,   0.00,,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   0,   1,   0,   0,   0,   0,   1.63,   0,   0.00,   0.00
9,2023-04-21 12:10:00,  19.71,   9.04,  -0.01,   0.88,   0.00,  0.000,   0.00, .00165,   2.48,   0.00,   0.00,   0.00,,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   0,   1,   0,   0,   0,   0,   1.68,   0,   0.00,   0.00
