,0,5IAL_3_TT301.50,5IAL_3_QIT301.52,5IAL_3_PIT 301.55,5IAL_3_QIT301.57,5IAL_3_PIT301.60,5IAL_3_FIT301.61MF,5IAL_3_FIT301.61VF,5IAL_3_FIT301.61D,5IAL_3_PIT301.63,5IAL_3_P301.70,5IAL_3_R301.71,5IAL_3_P301.72,5IAL_3_301.BatchName,5IAL_3_XPV301.05,5IAL_3_XPV301.06,5IAL_3_XPV301.08,5IAL_3_XPV301.09,5IAL_3_XPV301.22,5IAL_3_XPV301.35,5IAL_3_XPV301.36,5IAL_3_XPV301.42,5IAL_3_XPV301.43,5IAL_3_XPV301.46,5IAL_3_XPV301.53,5IAL_3_XPV301.54,5IAL_3_XPV301.63,5IAL_3_LSL301.51,5IAL_3_LSL301.53,5IAL_3_GSC301.44,5IAL_3_GSO301.44,5IAL_3_LSL301.64,5IAL_3_LSL301.68,5IAL_3_LSLL301.69,5IAL_3_301.OCCUPIED,5IAL_3_LIT301.54,5IAL_3_LSH301.56,5IAL_3_XPV301.13,5IAL_3_WY301.54
0,2023-03-16 08:00:00,  22.88,  10.32,   0.55, 208.14,  -0.00, 137.15,   7.87, 1.0460,   2.23,   1.98, 362.39,   0.00,KP5512307502,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,  34.99,   0,   2.12, 556.42
1,2023-03-16 08:01:00,  23.18,  10.32,   0.56, 198.30,   0.00, 136.13,   7.76, 1.0521,   2.23,   1.98, 364.73,   0.00,KP5512307502,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,  35.91,   0,   2.02, 576.42
2,2023-03-16 08:02:00,  23.46,  10.27,   0.57, 188.61,  -0.00, 135.62,   7.69, 1.0585,   2.24,   2.11, 367.17,   0.00,KP5512307502,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,  36.90,   0,   1.99, 596.42
3,2023-03-16 08:03:00,  23.69,  10.25,   0.57, 179.39,  -0.00, 136.57,   7.70, 1.0645,   2.24,   1.96, 369.57,   0.00,KP5512307502,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,  37.87,   0,   1.98, 616.42
4,2023-03-16 08:04:00,  23.95,  10.21,   0.58, 166.01,   0.00, 135.86,   7.63, 1.0688,   2.23,   2.00, 372.41,   0.00,KP5512307502,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,  39.02,   0,   1.97, 636.42
5,2023-03-16 08:05:00,  24.13,  10.21,   0.59, 158.53,   0.00, 137.16,   7.66, 1.0750,   2.23,   2.00, 374.86,   0.00,KP5512307502,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,  39.99,   0,   1.98, 656.42
6,2023-03-16 08:06:00,  24.30,  10.20,   0.59, 151.41,  -0.00, 136.01,   7.55, 1.0804,   2.23,   1.97, 377.21,   0.00,KP5512307502,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,  40.91,   0,   2.02, 676.42
7,2023-03-16 08:07:00,  24.45,  10.15,   0.60, 144.98,   0.00, 135.70,   7.50, 1.0852,   2.24,   2.00, 379.66,   0.00,KP5512307502,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,  41.91,   0,   1.95, 696.42
8,2023-03-16 08:08:00,  24.58,  10.15,   0.60, 137.98,   0.00, 136.23,   7.50, 1.0892,   2.24,   2.02, 382.15,   0.00,KP5512307502,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,  42.90,   0,   1.96, 716.42
9,2023-03-16 08:09:00,  24.70,  10.14,   0.61, 131.81,  -0.00, 136.58,   7.49, 1.0944,   2.23,   2.00, 384.48,   0.00,KP5512307502,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,  43.86,   0,   1.99, 736.43
