,0,5IAFL_3_P800-PIT403.50,5IAFL_3_P800-dP403.50,5IAFL_3_P800-PIT403.51,5IAFL_3_P800-FIT403.52,5IAFL_3_P800-LSL403.60,5IAFL_3_P800-P403.70_CIP,5IAFL_3_P800-P403.70_INK,5IAFL_3_P800-XPV403.03,5IAFL_3_P800-XPV403.06,5IAFL_3_P800-XPV403.48
0,2023-04-18 00:01:00,   4.31,   0.14,   4.18,   0.07,   1,   0,   1,   0,   0,   0
1,2023-04-18 00:02:00,   1.55,   0.93,   0.60,  61.77,   1,   0,   1,   0,   0,   0
2,2023-04-18 00:03:00,   4.33,   0.14,   4.21,   0.07,   1,   0,   1,   0,   0,   0
3,2023-04-18 00:04:00,   4.18,   0.14,   4.10,   0.07,   1,   0,   1,   0,   0,   0
4,2023-04-18 00:05:00,   4.31,   0.14,   4.15,   0.07,   1,   0,   1,   0,   0,   0
5,2023-04-18 00:06:00,   4.30,   0.14,   4.18,   0.07,   1,   0,   1,   0,   0,   0
6,2023-04-18 00:07:00,   4.33,   0.14,   4.14,   0.07,   1,   0,   1,   0,   0,   0
7,2023-04-18 00:08:00,   4.28,   0.14,   4.15,   0.07,   1,   0,   1,   0,   0,   0
8,2023-04-18 00:09:00,   4.32,   0.14,   4.19,   0.07,   1,   0,   1,   0,   0,   0
9,2023-04-18 00:10:00,   4.25,   0.14,   4.13,   0.07,   1,   0,   1,   0,   0,   0
10,2023-04-18 00:11:00,   4.28,   0.14,   4.17,   0.07,   1,   0,   1,   0,   0,   0
11,2023-04-18 00:12:00,   4.23,   0.14,   4.16,   0.07,   1,   0,   1,   0,   0,   0
12,2023-04-18 00:13:00,   4.28,   0.13,   4.15,   0.07,   1,   0,   1,   0,   0,   0
13,2023-04-18 00:14:00,   4.21,   0.13,   4.08,   0.07,   1,   0,   1,   0,   0,   0
14,2023-04-18 00:15:00,   4.28,   0.13,   4.15,   0.07,   1,   0,   1,   0,   0,   0
15,2023-04-18 00:16:00,   4.22,   0.13,   4.09,   0.07,   1,   0,   1,   0,   0,   0
16,2023-04-18 00:17:00,   4.35,   0.13,   4.23,   0.07,   1,   0,   1,   0,   0,   0
17,2023-04-18 00:18:00,   4.34,   0.13,   4.22,   0.07,   1,   0,   1,   0,   0,   0
18,2023-04-18 00:19:00,   4.23,   0.13,   4.10,   0.07,   1,   0,   1,   0,   0,   0
19,2023-04-18 00:20:00,   4.26,   0.13,   4.13,   0.07,   1,   0,   1,   0,   0,   0
20,2023-04-18 00:21:00,   4.27,   0.13,   4.14,   0.07,   1,   0,   1,   0,   0,   0
21,2023-04-18 00:22:00,   4.22,   0.13,   4.11,   0.07,   1,   0,   1,   0,   0,   0
22,2023-04-18 00:23:00,   4.18,   0.13,   4.06,   0.07,   1,   0,   1,   0,   0,   0
23,2023-04-18 00:24:00,   4.26,   0.13,   4.13,   0.07,   1,   0,   1,   0,   0,   0
24,2023-04-18 00:25:00,   4.33,   0.13,   4.21,   0.07,   1,   0,   1,   0,   0,   0
25,2023-04-18 00:26:00,   4.30,   0.13,   4.17,   0.07,   1,   0,   1,   0,   0,   0
26,2023-04-18 00:27:00,   4.33,   0.13,   4.21,   0.07,   1,   0,   1,   0,   0,   0
27,2023-04-18 00:28:00,   4.24,   0.13,   4.12,   0.07,   1,   0,   1,   0,   0,   0
28,2023-04-18 00:29:00,   4.27,   0.13,   4.15,   0.07,   1,   0,   1,   0,   0,   0
29,2023-04-18 00:30:00,   4.24,   0.13,   4.11,   0.07,   1,   0,   1,   0,   0,   0
30,2023-04-18 00:31:00,   4.30,   0.13,   4.17,   0.07,   1,   0,   1,   0,   0,   0
31,2023-04-18 00:32:00,   4.31,   0.13,   4.19,   0.07,   1,   0,   1,   0,   0,   0
32,2023-04-18 00:33:00,   4.26,   0.12,   4.13,   0.07,   1,   0,   1,   0,   0,   0
33,2023-04-18 00:34:00,   4.19,   0.12,   4.15,   0.07,   1,   0,   1,   0,   0,   0
34,2023-04-18 00:35:00,   4.30,   0.12,   4.18,   0.07,   1,   0,   1,   0,   0,   0
35,2023-04-18 00:36:00,   4.24,   0.12,   4.12,   0.07,   1,   0,   1,   0,   0,   0
36,2023-04-18 00:37:00,   4.27,   0.12,   4.14,   0.07,   1,   0,   1,   0,   0,   0
37,2023-04-18 00:38:00,   4.28,   0.12,   4.16,   0.07,   1,   0,   1,   0,   0,   0
38,2023-04-18 00:39:00,   1.68,   1.04,   0.64,  66.83,   1,   0,   1,   0,   0,   0
